,DATE,OPEN,HIGH,LOW,CLOSE,ADJ CLOSE,VOLUME,COMPANY
249,2019-02-22,19.63,19.77,19.47,19.65,19.65,86109000,TESLA
250,2019-02-22,160.58,162.41,160.31,161.89,161.89,15858500,META
251,2019-02-22,42.9,43.25,42.85,43.24,41.68,75652800,APPLE
252,2019-02-25,82.07,82.73,81.52,81.65,81.65,63690000,AMAZON
253,2019-02-25,43.54,43.97,43.49,43.56,41.99,87493600,APPLE
254,2019-02-25,19.86,20.19,19.8,19.92,19.92,99397500,TESLA
255,2019-02-25,163.07,166.07,162.9,164.62,164.62,18737100,META
256,2019-02-26,43.43,43.83,43.29,43.58,42.01,68280800,APPLE
257,2019-02-26,81.3,82.0,80.81,81.82,81.82,53316000,AMAZON
258,2019-02-26,164.34,166.24,163.8,164.13,164.13,13784100,META
259,2019-02-26,19.48,20.13,19.25,19.86,19.86,128737500,TESLA
260,2019-02-27,81.41,82.09,80.75,82.05,82.05,62976000,AMAZON
261,2019-02-27,43.3,43.75,43.18,43.72,42.14,111341600,APPLE
262,2019-02-27,162.9,163.93,160.41,162.81,162.81,12697500,META
263,2019-02-27,20.12,21.09,20.04,20.98,20.98,167758500,TESLA
264,2019-02-28,162.37,163.5,160.86,161.45,161.45,11114200,META
265,2019-02-28,81.76,82.59,81.69,81.99,81.99,60518000,AMAZON
266,2019-02-28,21.26,21.33,20.72,21.33,21.33,157810500,TESLA
267,2019-02-28,43.58,43.73,43.23,43.29,41.73,112861600,APPLE
268,2019-03-01,20.46,20.48,19.46,19.65,19.65,343671000,TESLA
269,2019-03-01,162.6,163.13,161.69,162.28,162.28,11097800,META
270,2019-03-01,82.76,83.71,82.55,83.59,83.59,99498000,AMAZON
271,2019-03-01,43.57,43.79,43.22,43.74,42.16,103544800,APPLE
272,2019-03-04,43.92,44.44,43.49,43.96,42.38,109744800,APPLE
273,2019-03-04,84.25,85.47,83.72,84.81,84.81,123348000,AMAZON
274,2019-03-04,163.9,167.5,163.83,167.37,167.37,18894700,META
275,2019-03-04,19.87,19.93,18.85,19.02,19.02,256452000,TESLA
276,2019-03-05,85.15,85.39,84.45,84.62,84.62,73630000,AMAZON
277,2019-03-05,167.37,171.88,166.55,171.26,171.26,28187900,META
278,2019-03-05,43.99,44.0,43.63,43.88,42.3,78949600,APPLE
279,2019-03-05,18.8,18.93,18.01,18.44,18.44,281470500,TESLA
280,2019-03-06,43.67,43.87,43.49,43.63,42.06,83241600,APPLE
281,2019-03-06,84.8,84.89,83.41,83.45,83.45,79920000,AMAZON
282,2019-03-06,18.43,18.77,18.29,18.42,18.42,155032500,TESLA
283,2019-03-06,172.9,173.57,171.27,172.51,172.51,21531700,META
284,2019-03-07,83.37,83.49,81.03,81.3,81.3,99140000,AMAZON
285,2019-03-07,171.5,171.74,167.61,169.13,169.13,18306500,META
286,2019-03-07,43.47,43.61,43.01,43.12,41.57,99185600,APPLE
287,2019-03-07,18.59,18.98,18.28,18.44,18.44,141637500,TESLA
288,2019-03-08,80.2,81.14,79.33,81.04,81.04,93340000,AMAZON
289,2019-03-08,166.2,169.62,165.97,169.6,169.6,13184800,META
290,2019-03-08,18.46,19.04,18.39,18.94,18.94,132294000,TESLA
291,2019-03-08,42.58,43.27,42.38,43.23,41.67,95997600,APPLE
292,2019-03-11,81.31,83.61,81.3,83.53,83.53,77528000,AMAZON
293,2019-03-11,18.9,19.42,18.7,19.39,19.39,110884500,TESLA
294,2019-03-11,171.6,174.3,171.58,172.07,172.07,18884000,META
295,2019-03-11,43.87,44.78,43.84,44.72,43.11,128044000,APPLE
296,2019-03-12,172.09,173.8,171.22,171.92,171.92,12155300,META
297,2019-03-12,19.1,19.2,18.74,18.89,18.89,112561500,TESLA
298,2019-03-12,83.45,84.21,83.05,83.65,83.65,72290000,AMAZON
299,2019-03-12,45.0,45.67,44.84,45.23,43.6,129870400,APPLE
300,2019-03-13,172.32,174.03,172.12,173.37,173.37,11973300,META
301,2019-03-13,84.15,85.0,83.97,84.54,84.54,71040000,AMAZON
302,2019-03-13,45.56,45.83,45.23,45.43,43.79,124130000,APPLE
303,2019-03-13,18.93,19.47,18.85,19.26,19.26,102670500,TESLA
304,2019-03-14,84.56,85.1,84.22,84.31,84.31,58932000,AMAZON
305,2019-03-14,169.76,171.15,168.16,170.17,170.17,18037400,META
306,2019-03-14,19.5,19.69,19.22,19.33,19.33,106551000,TESLA
307,2019-03-14,45.97,46.03,45.64,45.93,44.28,94318000,APPLE
308,2019-03-15,46.21,46.83,45.94,46.53,44.85,156171600,APPLE
309,2019-03-15,85.15,85.94,84.66,85.62,85.62,151018000,AMAZON
310,2019-03-15,18.9,18.91,18.29,18.36,18.36,221782500,TESLA
311,2019-03-15,167.16,167.58,162.51,165.98,165.98,37135400,META
312,2019-03-18,163.57,163.9,159.28,160.47,160.47,37524200,META
313,2019-03-18,85.64,87.5,85.63,87.11,87.11,108582000,AMAZON
314,2019-03-18,18.4,18.54,17.82,17.97,17.97,154215000,TESLA
315,2019-03-18,46.45,47.1,46.45,47.01,45.31,104879200,APPLE
316,2019-03-19,161.48,163.82,160.82,161.57,161.57,25611500,META
317,2019-03-19,17.83,18.22,17.56,17.83,17.83,177009000,TESLA
318,2019-03-19,87.68,89.21,87.68,88.09,88.09,127284000,AMAZON
319,2019-03-19,47.09,47.25,46.48,46.63,44.95,126585600,APPLE
320,2019-03-20,46.56,47.37,46.18,47.04,45.34,124140800,APPLE
321,2019-03-20,88.5,89.97,88.35,89.86,89.86,125312000,AMAZON
322,2019-03-20,17.98,18.33,17.75,18.24,18.24,103623000,TESLA
323,2019-03-20,161.5,166.12,161.24,165.44,165.44,20211500,META
324,2019-03-21,47.51,49.08,47.45,48.77,47.01,204136800,APPLE
325,2019-03-21,18.17,18.43,17.9,18.27,18.27,89206500,TESLA
326,2019-03-21,164.89,166.39,163.75,166.08,166.08,16223000,META
327,2019-03-21,89.81,91.19,89.36,90.96,90.96,115356000,AMAZON
328,2019-03-22,90.51,90.95,88.16,88.24,88.24,127260000,AMAZON
329,2019-03-22,48.83,49.42,47.7,47.76,46.04,169630800,APPLE
330,2019-03-22,18.17,18.19,17.6,17.64,17.64,131184000,TESLA
331,2019-03-22,165.65,167.42,164.09,164.34,164.34,16389200,META
332,2019-03-25,163.0,166.54,162.0,166.29,166.29,12631200,META
333,2019-03-25,47.88,47.99,46.65,47.19,45.48,175381200,APPLE
334,2019-03-25,17.31,17.55,16.96,17.36,17.36,153225000,TESLA
335,2019-03-25,87.89,89.13,87.38,88.71,88.71,102076000,AMAZON
336,2019-03-26,167.35,169.45,166.35,167.68,167.68,15437900,META
337,2019-03-26,89.65,90.29,88.67,89.19,89.19,97318000,AMAZON
338,2019-03-26,47.92,48.22,46.14,46.7,45.01,199202000,APPLE
